time,open,high,low,close,tick_volume,spread,real_volume
2011-05-18 20:00:00,1495.75,1498.2,1493.7,1497.2,740,50,0
2011-05-18 21:00:00,1497.15,1498.7,1492.58,1493.73,1163,50,0
2011-05-18 22:00:00,1493.7,1496.4,1492.5,1493.47,534,50,0
2011-05-18 23:00:00,1493.43,1496.6,1493.43,1496.15,260,65,0
2011-05-19 01:00:00,1496.93,1497.4,1495.38,1495.83,150,65,0
2011-05-19 02:00:00,1495.75,1497.0,1495.35,1495.8,142,50,0
2011-05-19 03:00:00,1495.75,1497.8,1494.3,1497.55,459,50,0
2011-05-19 04:00:00,1497.5,1499.5,1497.2,1498.1,371,50,0
2011-05-19 05:00:00,1498.3,1498.75,1497.1,1498.0,294,50,0
2011-05-19 06:00:00,1497.9,1498.1,1496.2,1496.9,238,50,0
2011-05-19 07:00:00,1496.85,1498.38,1495.75,1497.35,307,50,0
2011-05-19 08:00:00,1497.25,1497.45,1494.75,1494.8,345,50,0
2011-05-19 09:00:00,1494.7,1496.1,1493.25,1495.7,506,50,0
2011-05-19 10:00:00,1495.63,1496.3,1492.55,1494.1,999,53,0
2011-05-19 11:00:00,1494.2,1494.2,1489.2,1489.7,1280,55,0
2011-05-19 12:00:00,1489.6,1491.95,1487.68,1491.9,1156,55,0
2011-05-19 13:00:00,1491.8,1495.4,1489.8,1493.9,1029,50,0
2011-05-19 14:00:00,1493.85,1495.2,1491.2,1491.3,1076,50,0
2011-05-19 15:00:00,1491.35,1493.05,1488.05,1489.5,2211,50,0
2011-05-19 16:00:00,1489.45,1492.55,1487.65,1491.85,2112,50,0
2011-05-19 17:00:00,1491.9,1494.1,1486.6,1487.7,2666,50,0
2011-05-19 18:00:00,1487.75,1491.7,1486.15,1488.8,1913,50,0
2011-05-19 19:00:00,1488.7,1495.93,1488.6,1492.7,1853,50,0
2011-05-19 20:00:00,1492.7,1495.25,1491.3,1493.1,1231,50,0
2011-05-19 21:00:00,1493.0,1494.5,1491.3,1492.4,1151,50,0
2011-05-19 22:00:00,1492.5,1495.3,1492.3,1494.25,555,58,0
2011-05-19 23:00:00,1494.2,1494.7,1493.4,1493.4,232,55,0
2011-05-20 01:00:00,1494.8,1495.4,1494.1,1495.27,170,65,0
2011-05-20 02:00:00,1495.3,1496.0,1494.85,1494.95,186,55,0
2011-05-20 03:00:00,1494.9,1495.0,1493.6,1494.1,360,60,0
2011-05-20 04:00:00,1493.9,1495.5,1493.8,1494.7,548,50,0
2011-05-20 05:00:00,1494.75,1496.4,1494.6,1495.4,420,50,0
2011-05-20 06:00:00,1495.35,1495.9,1495.05,1495.6,253,55,0
2011-05-20 07:00:00,1495.7,1497.3,1495.5,1496.7,561,55,0
2011-05-20 08:00:00,1496.75,1497.0,1496.0,1496.75,533,50,0
2011-05-20 09:00:00,1496.85,1499.9,1496.55,1498.0,1107,55,0
2011-05-20 10:00:00,1498.1,1503.7,1497.5,1503.7,1056,55,0
2011-05-20 11:00:00,1503.65,1504.22,1501.25,1501.78,1498,55,0
2011-05-20 12:00:00,1501.88,1503.22,1500.9,1501.3,1183,60,0
2011-05-20 13:00:00,1501.28,1502.47,1497.95,1498.4,1533,55,0
2011-05-20 14:00:00,1498.43,1498.5,1492.6,1495.13,2317,57,0
2011-05-20 15:00:00,1495.08,1503.05,1494.6,1501.8,2443,50,0
2011-05-20 16:00:00,1501.85,1503.65,1486.78,1490.43,2776,50,0
2011-05-20 17:00:00,1490.35,1498.6,1487.4,1498.5,3218,50,0
2011-05-20 18:00:00,1498.53,1514.55,1498.03,1509.45,3391,50,0
2011-05-20 19:00:00,1509.5,1515.65,1509.4,1510.9,2602,52,0
2011-05-20 20:00:00,1510.93,1514.03,1508.13,1513.68,1807,53,0
2011-05-20 21:00:00,1513.78,1514.9,1511.6,1513.95,949,50,0
2011-05-20 22:00:00,1513.88,1515.45,1512.55,1512.9,1013,50,0
2011-05-20 23:00:00,1512.95,1514.05,1511.8,1512.85,226,60,0
2011-05-23 01:00:00,1512.15,1518.75,1509.35,1514.2,737,105,0
2011-05-23 02:00:00,1514.3,1517.17,1514.0,1516.9,585,80,0
2011-05-23 03:00:00,1516.7,1516.7,1511.5,1512.35,971,50,0
2011-05-23 04:00:00,1512.3,1513.25,1510.1,1511.03,1012,55,0
2011-05-23 05:00:00,1510.97,1511.63,1508.45,1509.1,798,50,0
2011-05-23 06:00:00,1509.13,1510.83,1508.38,1509.43,685,50,0
2011-05-23 07:00:00,1509.38,1511.1,1507.88,1511.1,894,58,0
2011-05-23 08:00:00,1511.03,1511.05,1507.6,1508.78,1136,57,0
2011-05-23 09:00:00,1508.83,1511.6,1507.45,1507.8,1646,50,0
2011-05-23 10:00:00,1507.83,1509.5,1504.9,1509.2,1318,55,0
2011-05-23 11:00:00,1509.15,1512.6,1509.05,1510.35,1469,55,0
2011-05-23 12:00:00,1510.25,1510.75,1507.95,1509.0,1173,57,0
2011-05-23 13:00:00,1508.95,1512.3,1508.5,1508.9,1110,50,0
2011-05-23 14:00:00,1508.8,1510.5,1507.95,1510.4,1024,55,0
2011-05-23 15:00:00,1510.5,1512.7,1503.8,1512.18,2194,55,0
2011-05-23 16:00:00,1512.15,1513.35,1507.6,1510.75,2601,50,0
2011-05-23 17:00:00,1510.65,1515.3,1509.2,1510.9,2487,50,0
2011-05-23 18:00:00,1510.85,1512.6,1508.95,1511.6,2484,50,0
2011-05-23 19:00:00,1511.5,1515.2,1511.2,1514.25,2325,50,0
2011-05-23 20:00:00,1514.3,1516.7,1513.0,1516.47,1816,50,0
2011-05-23 21:00:00,1516.5,1517.43,1515.5,1516.45,1457,50,0
2011-05-23 22:00:00,1516.5,1517.3,1515.18,1516.63,1080,50,0
2011-05-23 23:00:00,1516.5,1517.55,1516.08,1516.15,316,55,0
2011-05-24 01:00:00,1517.15,1517.58,1515.3,1515.3,443,60,0
2011-05-24 02:00:00,1515.4,1515.45,1513.05,1514.1,329,65,0
2011-05-24 03:00:00,1514.0,1517.8,1513.8,1517.38,731,50,0
2011-05-24 04:00:00,1517.37,1518.15,1516.75,1517.15,477,55,0
2011-05-24 05:00:00,1517.18,1517.4,1515.53,1516.45,427,50,0
2011-05-24 06:00:00,1516.4,1517.45,1515.1,1516.45,385,50,0
2011-05-24 07:00:00,1516.4,1517.75,1516.1,1517.7,562,50,0
2011-05-24 08:00:00,1517.8,1518.58,1517.08,1517.4,781,50,0
2011-05-24 09:00:00,1517.5,1518.5,1516.63,1517.7,945,50,0
2011-05-24 10:00:00,1517.65,1519.55,1517.6,1519.5,1301,55,0
2011-05-24 11:00:00,1519.4,1521.75,1519.2,1520.15,1300,55,0
2011-05-24 12:00:00,1520.2,1522.5,1519.03,1521.9,1323,60,0
2011-05-24 13:00:00,1521.8,1523.22,1521.0,1522.6,1561,54,0
2011-05-24 14:00:00,1522.55,1522.8,1519.25,1520.8,1373,52,0
2011-05-24 15:00:00,1520.9,1522.05,1519.33,1520.7,1922,52,0
2011-05-24 16:00:00,1520.6,1527.38,1520.55,1526.58,2887,55,0
2011-05-24 17:00:00,1526.53,1527.5,1523.25,1525.25,3213,50,0
2011-05-24 18:00:00,1525.25,1526.75,1523.75,1524.2,2511,55,0
2011-05-24 19:00:00,1524.11,1524.33,1520.15,1520.8,2160,50,0
2011-05-24 20:00:00,1520.75,1523.72,1520.7,1523.47,1690,52,0
2011-05-24 21:00:00,1523.5,1525.4,1522.9,1524.08,1260,52,0
2011-05-24 22:00:00,1524.03,1526.2,1523.88,1524.22,1071,50,0
2011-05-24 23:00:00,1524.28,1525.91,1524.21,1525.86,249,59,0
2011-05-25 01:00:00,1525.89,1525.95,1524.44,1524.95,203,65,0
2011-05-25 02:00:00,1525.05,1525.15,1523.65,1524.34,338,65,0
2011-05-25 03:00:00,1524.29,1525.25,1522.75,1523.75,576,55,0
2011-05-25 04:00:00,1523.72,1524.35,1522.85,1523.6,714,50,0
2011-05-25 05:00:00,1523.55,1524.65,1523.3,1524.45,423,50,0
2011-05-25 06:00:00,1524.4,1525.33,1523.95,1525.05,383,50,0
